source_id,target_id,type
EMP001,Python,HAS_SKILL
EMP001,Cloud Architecture,HAS_SKILL
EMP001,Kubernetes,HAS_SKILL
EMP001,System Design,HAS_SKILL
EMP001,SQL,HAS_SKILL
EMP002,Kubernetes,HAS_SKILL
EMP002,Terraform,HAS_SKILL
EMP002,CI/CD Pipeline,HAS_SKILL
EMP002,Linux Administration,HAS_SKILL
EMP002,Monitoring,HAS_SKILL
EMP003,Negotiation,HAS_SKILL
EMP003,CRM,HAS_SKILL
EMP003,Python,HAS_SKILL
EMP003,Data Analysis,HAS_SKILL
EMP003,Presentation,HAS_SKILL
EMP004,Cybersecurity,HAS_SKILL
EMP004,Penetration Testing,HAS_SKILL
EMP004,Network Security,HAS_SKILL
EMP005,SQL,HAS_SKILL
EMP005,Troubleshooting,HAS_SKILL
EMP005,Linux Administration,HAS_SKILL
EMP006,Python,HAS_SKILL
EMP006,SQL,HAS_SKILL
EMP006,Data Analysis,HAS_SKILL
EMP007,Negotiation,HAS_SKILL
EMP007,CRM,HAS_SKILL
EMP007,Presentation,HAS_SKILL
EMP008,Terraform,HAS_SKILL
EMP008,CI/CD Pipeline,HAS_SKILL
EMP008,Monitoring,HAS_SKILL
EMP009,Troubleshooting,HAS_SKILL
EMP009,CRM,HAS_SKILL
EMP009,SQL,HAS_SKILL
EMP010,Network Security,HAS_SKILL
EMP010,Linux Administration,HAS_SKILL
EMP010,Troubleshooting,HAS_SKILL
EMP011,CRM,HAS_SKILL
EMP011,Presentation,HAS_SKILL
EMP011,Negotiation,HAS_SKILL
EMP012,Kubernetes,HAS_SKILL
EMP012,CI/CD Pipeline,HAS_SKILL
EMP012,Terraform,HAS_SKILL
EMP013,Negotiation,HAS_SKILL
EMP013,Presentation,HAS_SKILL
EMP013,CRM,HAS_SKILL
EMP013,Data Analysis,HAS_SKILL
EMP014,System Design,HAS_SKILL
EMP014,Python,HAS_SKILL
EMP014,SQL,HAS_SKILL
EMP014,Monitoring,HAS_SKILL
EMP015,Troubleshooting,HAS_SKILL
EMP015,SQL,HAS_SKILL
EMP015,Linux Administration,HAS_SKILL
EMP015,Monitoring,HAS_SKILL
